Id,Title,Price,Distance,Time,EstimationMusic,Popularity,Category
564237,Sensual-Kizomba-Community,0,362.99722077988224,1572,1000,6,Sports/recreation/activities
563447,CAMPUS FLASH - 2€ SPECIAL PARTY,0,476.04212463547395,1582,0,38,Club
564088,Macbeth,0,456.06611381266936,1471,0,237,Arts/entertainment/nightlife
564134,HEGEMANNS BOOGIE WOOGIE MEETING,0,-1,1331,1000,40,none
563381,Zouk It Night Cologne!,0,476.1505097010456,1009,0,23,Education
565144,Hoftheater Bergkirchen präsentiert - MIRANDOLINA  Eine Wirtschauskomödie von Carlo Goldoni,0,352.0763060496494,1041,0,313,none
564946,Weihnachtsliedersingen,0,100.43553617148795,1052,148,305,Musician/Band
564152,? Poolparty Forheim ?,0,346.7456800254118,1281,0,3,Community
563384,BEST OF ACOUSTIC SLAM,4,474.6664573186236,488,1000,96,Musician/band
564042,"Jazz:  Swing Frei, Schütz",0,382.53095833891393,1542,1000,13,none
563939,Für mich soll´s rote Rosen regnen,0,460.499861748209,758,137,183,Local Business
564196,EQUINOX Frühling,0,358.84348080333564,1140,0,0,Organization
563537,Festival - Survivalkiosk am Klimperkasten,0,329.21998402424134,1273,15,56,Arts/entertainment/nightlife
563386,Workshop mit Weltmeister Nick Dieckmann,0,397.19735276544355,903,1000,0,none
564197,Halbfinale Deutschland,0,59.33121451774043,510,448,54,Travel/Leisure
563648,Interkulturelle Musikwerkstatt gegen Rassismus,0,301.6840618485702,1505,993,72,none
563941,AFTER CHRISTMAS - Weihnachtsfeier geschlossene Gesellschaft,0,-1,1092,39,1,none
563388,Jürgen Schwab,0,238.44890770280804,448,1000,148,Non-profit organization
564094,Rockabilly Party - Midnight Monsters Hop - 06.06. Club Palais 13,0,189.68069024601166,1582,1000,14,Business services
564141,Dive Deeper Yoga on the beat,0,439.44434916708474,734,0,0,Sports/recreation/activities
563402,UWE X. - Liedermacher - präsentiert vom Musikertreff Ruhr e.V.,0,447.27194234969704,1517,1000,772,none
563296,FChampions League LIVE-Übertragung Juventus Turin - FC BAYERN im 'LA VIVRE',0,324.6439174835868,796,0,17,Restaurant/Cafe
563297,Mannschaftspräsentation der Eispiraten Dorfen,0,328.98856522909483,1288,0,10,none
563541,WORKSHOP - GOTRA | Joost Vrouenraets (NL),0,536.9954139836624,764,0,12,none
564048,Havana Night Fever Party,0,399.45508889570266,1140,0,0,Sports/recreation/activities
563492,Kerwa 2014 - Livemusik mit Akust-X,0,237.37498023201002,1332,0,14,Restaurant/Cafe
579850,CHRISTMAS PARTY AND SALE!,0,359.56303251349965,1036,502,0,Sports/recreation/activities
579635,Dr.Feelgood || WIR ROCKEN Heidenfeld!,0,277.7471416330391,1436,0,38,none
581181,KleinKnut'sAbend 21.09.13,0,447.912250076484,960,0,65,none
580974,Kirschblütenfest - Naked Superhero,0,361.43691914183154,1540,1000,150,Restaurant/cafe
581021,After Zug Party,0,534.8312555479023,1121,782,42,Local business
580478,Music-Night - Edy Edwards - Someone´s Missing - Slippery Affair,0,468.5691594482905,1338,1000,41,Non-profit organization
580680,Exact Silvester  Party,7,438.53205705277367,1425,1000,23,Club
581222,Rock am Wackelpeter,0,375.2444726579835,939,0,77,Musician/band
